full_name,a,e,i,om,per_y,diameter,rot_per
" 13181 Peneleos (1996 RS28)",5.211867688361938,.1368213419870905,2.546547318125001,11.01446949309774,11.8986660343016,,
" 13182 (1996 SO8)",5.241336772631234,.1115280643976536,5.071989558305143,303.0869143762081,11.9997251940283,,
" 13183 (1996 TW)",5.211958435125724,.0887795509992859,17.96026753660626,8.067139492435921,11.8989767972182,,
" 13184 Augeias (1996 TS49)",5.159419559708394,.04779081600149537,4.515070938766986,227.4650324413016,11.7195104584091,,
" 13185 Agasthenes (1996 TH52)",5.187515723601439,.05474509210683415,9.112233734443214,4.383705121935695,11.815370414124,,
" 13229 Echion (1997 VB1)",5.241008332267625,.07608832471479511,3.841217273989232,343.0542532453805,11.9985972950207,,8.46
" 13230 (1997 VG1)",5.064261904396441,.06220649513247546,4.328818781626079,53.83276725923188,11.3967871870533,,
" 13323 (1998 SQ)",5.111672091892285,.08866937726926176,.9159914607064827,182.5022523548612,11.5572014145573,,
" 13331 (1998 SU52)",5.075607303280993,.1088131313285148,2.29400554147897,284.8186671730289,11.4351067358687,,375.
" 13353 (1998 TU12)",5.163964631170768,.1341484986384597,15.44321869058124,41.95550589841665,11.734999916399,,
" 13362 (1998 UQ16)",5.191351276021167,.02979640948922966,9.337275819791957,57.94770972347764,11.8284769329877,,
" 13366 (1998 US24)",5.225707079680162,.1044166785705491,6.636864266337538,96.29436185217084,11.9460903661482,,
" 13372 (1998 VU6)",5.231172677027564,.04740314249834694,7.304652389253148,96.68154375760646,11.9648369936292,,
" 13379 (1998 WX9)",5.148563184108935,.06538780436775529,4.916917041764613,89.54691315094792,11.6825398885232,,
" 13383 (1998 XS31)",5.143568944046918,.0649005099435616,6.401187282665326,252.2139188740924,11.6655454605957,,
" 13385 (1998 XO79)",5.227488999067274,.04443437310442562,13.9644612678032,157.1560533471255,11.9522011519985,,
" 13387 Irus (1998 YW6)",5.219260961055528,.09485252894981336,7.242982731810242,356.0246185484726,11.923993213914,,
" 13402 (1999 RV165)",5.253073463180544,.1199080127756901,7.530414725581395,160.8523771260967,12.0400534195904,,
" 13463 Antiphos (5159 T-2)",5.174567498780702,.00721028923814679,10.5285718866192,323.5927703112741,11.7711606492967,,
" 13475 Orestes (1973 SX)",5.175038162499968,.07455451104717026,7.942314148460114,353.4733868213248,11.7727666919947,,
" 13650 Perimedes (1996 TN49)",5.20411577508155,.09846044951181664,10.72139769766423,206.8631942687109,11.8721295429504,,
" 13694 (1997 WW7)",5.239366517014009,.06997635577281096,5.648798951808933,249.7833390623335,11.9929596573895,,30.64
" 13780 (1998 UZ8)",5.184650339012668,.0944755550839384,8.245610641791412,25.25015411195305,11.8055822303755,,
" 13782 (1998 UM18)",5.179247842508109,.1332144549646581,28.58673004263539,150.1733617032697,11.7871346028186,,
" 13790 (1998 UF31)",5.261888365167902,.1129562568179966,7.975727361765306,67.24921218936862,12.0703717854043,,
" 13862 (1999 XT160)",5.289144804002539,.08464090278173982,8.388060934140446,132.2048741192453,12.1642794304525,,
" 14235 (1999 XA187)",5.122361723317969,.08509667668441737,8.68156399526247,41.40593099889495,11.5934733390509,,
" 14268 (2000 AK156)",5.253470022141952,.08880582184919586,14.96510090927234,284.6103440879812,12.0414168160538,57.54,
" 14518 (1996 RZ30)",5.270178185280808,.1452620361637658,6.477563858035332,179.1220733346647,12.0989073425359,,
" 14690 (2000 AR25)",5.200209328040368,.03049754095180228,4.450025281784908,1.513349502191471,11.8587644076686,,
" 14707 (2000 CC20)",5.21385154182779,.04207517767908964,13.66690818940351,156.1037415277359,11.9054603710158,,
" 14791 Atreus (1973 SU)",5.145029427708662,.1605959149457342,2.937388048659627,194.8078945334887,11.6705143493448,,
" 14792 Thyestes (1973 SG1)",5.164682178661347,.0830739677190947,11.37014035265629,154.813065929173,11.737445918506,,
" 15033 (1998 VY29)",5.177673276347797,.2032953287069044,12.02706369073335,258.4144374523539,11.7817598225898,,
" 15094 (1999 WB2)",5.15727087463966,.09583643402716496,13.00415417712746,50.33345644910677,11.712190182874,,
" 15398 (1997 UZ23)",5.127600886537584,.02723931223161926,28.47242158014689,189.6058501199942,11.6112646327017,,
" 15436 (1998 VU30)",5.208226766920721,.04436111262074271,16.26551008858639,253.430431594899,11.8861999058498,85.71,8.97
" 15440 (1998 WX4)",5.299459750141972,.02197222506290434,28.73758000355828,120.5735340671556,12.1998811336743,66.48,
" 15442 (1998 WN11)",5.188219572465712,.1682262455168455,4.509145525012469,110.3666349181426,11.8177751828726,,
" 15502 (1999 NV27)",5.131554322822804,.01688676552841284,16.81824847878677,308.7266861729505,11.6246958385403,,15.03
" 15521 (1999 XH133)",5.228332638370377,.0711804908703963,10.68925275661549,10.42445053981808,11.9550946311049,,
" 15527 (1999 YY2)",5.221604302352834,.1519674491902805,21.26199219137042,173.8075447800698,11.9320245584029,,6.9903
" 15529 (2000 AA80)",5.254168200357946,.02602315876674961,5.085877521385568,169.558557426479,12.0438173249147,,
" 15535 (2000 AT177)",5.168646466727416,.08539326170938351,13.18136011697392,155.1391551527301,11.7509625908721,,6.01
" 15536 (2000 AG191)",5.197459853611753,.1442914315384906,14.66924791451812,192.7357581295776,11.8493606344985,,
" 15539 (2000 CN3)",5.318507653786858,.04099964042429235,27.89162782967591,108.8832391382628,12.2657154431413,,
" 15651 Tlepolemos (9612 P-L)",5.280549196824529,.04144718377310885,2.964751177759136,45.33531346722719,12.13463847364,,
" 15663 Periphas (4168 T-2)",5.187768038330481,.1043633085698021,33.90271501440643,12.10184749649115,11.8162324534103,,
" 15760 (1992 QB1)",43.97024819470809,.06916506979227915,2.190413655114311,359.4857233616412,291.572511579538,,
" 15788 (1993 SB)",39.51885572333627,.3235251316662942,1.940643657286085,354.9413875763763,248.436123336687,,
" 15789 (1993 SC)",39.55363361998769,.1838719863365513,5.164433121196053,354.7244067301238,248.764143452976,328,
" 15807 (1994 GV9)",43.86790181267985,.06379403453632763,.5622065478579845,176.8567680926398,290.555095671296,,
" 15809 (1994 JS)",42.05748205649024,.2139770362066082,14.05265826255955,56.34574440670398,272.755241255209,,
" 15810 (1994 JR1)",39.24484199170169,.1153412039316905,3.807091875304959,144.6928214885906,245.856717845882,,
" 15820 (1994 TB)",39.61299013013464,.3194293685542499,12.13893581107685,317.4973946832466,249.324318647951,,6.5
" 15836 (1995 DA2)",36.57740299540453,.07793070393720401,6.545772254529387,127.4262962835154,221.22158677074,,
" 15874 (1996 TL66)",84.27277545631787,.5839527879835306,23.97421088952825,217.7696002920575,773.640413191174,,12.
" 15875 (1996 TP66)",39.59951969686821,.3332177714105803,5.686435836450768,316.8775624169562,249.197155018557,,
